OMRÅDE,ALDER,KØN,TID,INDHOLD
Silkeborg,Alder i alt,I alt,2011,5.5
Samsø,Alder i alt,I alt,2011,6.1
Skanderborg,Alder i alt,I alt,2011,3.8
Aarhus,Alder i alt,I alt,2011,5.3
Ikast-Brande,Alder i alt,I alt,2011,6.2
Ringkøbing-Skjern,Alder i alt,I alt,2011,4.8
Hedensted,Alder i alt,I alt,2011,4.0
Morsø,Alder i alt,I alt,2011,7.3
Skive,Alder i alt,I alt,2011,5.9
Thisted,Alder i alt,I alt,2011,4.9
Viborg,Alder i alt,I alt,2011,5.0
Brønderslev,Alder i alt,I alt,2011,6.2
Frederikshavn,Alder i alt,I alt,2011,7.1
Vesthimmerlands,Alder i alt,I alt,2011,6.2
Læsø,Alder i alt,I alt,2011,9.3
Rebild,Alder i alt,I alt,2011,5.1
Mariagerfjord,Alder i alt,I alt,2011,5.6
Jammerbugt,Alder i alt,I alt,2011,5.8
Aalborg,Alder i alt,I alt,2011,6.4
Hjørring,Alder i alt,I alt,2011,6.9
Varde,Alder i alt,I alt,2007,1.9
Vejen,Alder i alt,I alt,2007,1.9
Aabenraa,Alder i alt,I alt,2007,3.8
Fredericia,Alder i alt,I alt,2007,3.3
Horsens,Alder i alt,I alt,2007,2.3
Kolding,Alder i alt,I alt,2007,2.6
Vejle,Alder i alt,I alt,2007,2.3
Herning,Alder i alt,I alt,2007,2.3
Holstebro,Alder i alt,I alt,2007,2.2
Lemvig,Alder i alt,I alt,2007,3.1
Struer,Alder i alt,I alt,2007,2.8
Syddjurs,Alder i alt,I alt,2007,3.8
Norddjurs,Alder i alt,I alt,2007,4.4
Favrskov,Alder i alt,I alt,2007,2.2
Odder,Alder i alt,I alt,2007,2.8
Rudersdal,Alder i alt,I alt,2009,2.4
Egedal,Alder i alt,I alt,2009,2.4
Frederikssund,Alder i alt,I alt,2009,3.7
Greve,Alder i alt,I alt,2009,3.4
Fredensborg,Alder i alt,I alt,2018,3.1
Helsingør,Alder i alt,I alt,2018,4.0
Hillerød,Alder i alt,I alt,2018,2.9
Hørsholm,Alder i alt,I alt,2018,2.9
Rudersdal,Alder i alt,I alt,2018,2.7
Egedal,Alder i alt,I alt,2018,2.7
Frederikssund,Alder i alt,I alt,2018,3.2
Greve,Alder i alt,I alt,2018,2.9
Køge,Alder i alt,I alt,2018,3.4
Halsnæs,Alder i alt,I alt,2018,3.7
Roskilde,Alder i alt,I alt,2018,3.2
Solrød,Alder i alt,I alt,2018,2.3
Gribskov,Alder i alt,I alt,2018,2.8
Odsherred,Alder i alt,I alt,2018,4.7
Holbæk,Alder i alt,I alt,2018,3.4
Faxe,Alder i alt,I alt,2018,4.0
Kalundborg,Alder i alt,I alt,2018,4.0
Ringsted,Alder i alt,I alt,2018,3.6
Slagelse,Alder i alt,I alt,2018,4.4
Stevns,Alder i alt,I alt,2018,3.8
Sorø,Alder i alt,I alt,2018,3.7
Lejre,Alder i alt,I alt,2018,2.7
Lolland,Alder i alt,I alt,2018,5.4
Næstved,Alder i alt,I alt,2018,4.3
Guldborgsund,Alder i alt,I alt,2018,4.6
Vordingborg,Alder i alt,I alt,2018,4.8
Bornholm,Alder i alt,I alt,2018,4.3
Middelfart,Alder i alt,I alt,2018,3.0
Assens,Alder i alt,I alt,2018,3.7
Faaborg-Midtfyn,Alder i alt,I alt,2018,3.9
Kerteminde,Alder i alt,I alt,2018,4.2
Nyborg,Alder i alt,I alt,2018,3.8
Odense,Alder i alt,I alt,2018,4.8
Svendborg,Alder i alt,I alt,2018,4.3
Nordfyns,Alder i alt,I alt,2018,4.3
Langeland,Alder i alt,I alt,2018,5.1
Ærø,Alder i alt,I alt,2018,3.7
Haderslev,Alder i alt,I alt,2018,3.6
Billund,Alder i alt,I alt,2018,2.6
Sønderborg,Alder i alt,I alt,2018,3.5
Tønder,Alder i alt,I alt,2018,3.3
Esbjerg,Alder i alt,I alt,2018,3.7
Fanø,Alder i alt,I alt,2018,4.6
Varde,Alder i alt,I alt,2018,2.8
Vejen,Alder i alt,I alt,2018,2.7
Aabenraa,Alder i alt,I alt,2018,3.6
Fredericia,Alder i alt,I alt,2018,4.2
Horsens,Alder i alt,I alt,2018,3.3
København,Alder i alt,I alt,2014,6.3
Frederiksberg,Alder i alt,I alt,2014,5.2
Ballerup,Alder i alt,I alt,2014,5.2
Brøndby,Alder i alt,I alt,2014,6.7
Dragør,Alder i alt,I alt,2008,1.6
Gentofte,Alder i alt,I alt,2008,1.8
Gladsaxe,Alder i alt,I alt,2008,2.3
Glostrup,Alder i alt,I alt,2008,2.2
Herlev,Alder i alt,I alt,2008,2.5
Albertslund,Alder i alt,I alt,2008,3.7
Hvidovre,Alder i alt,I alt,2008,2.2
Høje-Taastrup,Alder i alt,I alt,2008,3.0
Lyngby-Taarbæk,Alder i alt,I alt,2008,1.5
Rødovre,Alder i alt,I alt,2008,2.4
Ishøj,Alder i alt,I alt,2008,4.9
Tårnby,Alder i alt,I alt,2008,2.8
Vallensbæk,Alder i alt,I alt,2008,1.9
Furesø,Alder i alt,I alt,2008,1.9
Allerød,Alder i alt,I alt,2008,1.1
Fredensborg,Alder i alt,I alt,2008,2.0
Helsingør,Alder i alt,I alt,2008,2.6
Hillerød,Alder i alt,I alt,2008,1.5
Hørsholm,Alder i alt,I alt,2008,1.4
Rudersdal,Alder i alt,I alt,2008,1.4
Egedal,Alder i alt,I alt,2008,1.1
Frederikssund,Alder i alt,I alt,2008,1.8
Greve,Alder i alt,I alt,2008,1.8
Køge,Alder i alt,I alt,2008,2.6
Halsnæs,Alder i alt,I alt,2008,2.5
Roskilde,Alder i alt,I alt,2008,1.6
Solrød,Alder i alt,I alt,2008,2.0
Gribskov,Alder i alt,I alt,2008,1.9
Odsherred,Alder i alt,I alt,2008,2.8
Holbæk,Alder i alt,I alt,2008,2.4
Faxe,Alder i alt,I alt,2008,2.4
Kalundborg,Alder i alt,I alt,2008,2.3
Ringsted,Alder i alt,I alt,2008,2.3
Slagelse,Alder i alt,I alt,2008,3.4
Stevns,Alder i alt,I alt,2008,2.3
Sorø,Alder i alt,I alt,2008,2.4
Lejre,Alder i alt,I alt,2008,1.5
Lolland,Alder i alt,I alt,2008,4.4
Næstved,Alder i alt,I alt,2008,2.9
Guldborgsund,Alder i alt,I alt,2008,3.0
Vordingborg,Alder i alt,I alt,2008,3.5
Bornholm,Alder i alt,I alt,2008,6.0
Middelfart,Alder i alt,I alt,2008,1.8
Assens,Alder i alt,I alt,2008,2.8
Faaborg-Midtfyn,Alder i alt,I alt,2008,2.6
Kerteminde,Alder i alt,I alt,2008,2.7
Nyborg,Alder i alt,I alt,2008,2.6
Odense,Alder i alt,I alt,2008,3.7
Svendborg,Alder i alt,I alt,2008,3.0
Nordfyns,Alder i alt,I alt,2008,2.9
Langeland,Alder i alt,I alt,2008,3.4
Ærø,Alder i alt,I alt,2008,2.7
Haderslev,Alder i alt,I alt,2008,2.2
Billund,Alder i alt,I alt,2008,1.3
Sønderborg,Alder i alt,I alt,2008,2.1
Tønder,Alder i alt,I alt,2008,2.4
Esbjerg,Alder i alt,I alt,2008,2.0
Fanø,Alder i alt,I alt,2008,1.9
Varde,Alder i alt,I alt,2008,1.3
Vejen,Alder i alt,I alt,2008,1.2
Aabenraa,Alder i alt,I alt,2008,2.8
Fredericia,Alder i alt,I alt,2008,2.6
Horsens,Alder i alt,I alt,2008,1.9
Kolding,Alder i alt,I alt,2008,1.8
